Elevation_long,Year_edge_glacier,Cover_type,Grid,Cover
4359,1850,Vasc_plant,1,88.88888889
4359,1850,Vasc_plant,2,55.55555556
4359,1850,Vasc_plant,3,100
4648,1960,Vasc_plant,1,0
4648,1960,Vasc_plant,2,11.11111111
4648,1960,Vasc_plant,3,33.33333333
4660,1990,Vasc_plant,1,0
4660,1990,Vasc_plant,2,0
4660,1990,Vasc_plant,3,0
4690,2010,Vasc_plant,1,33.33333333
4690,2010,Vasc_plant,2,0
4690,2010,Vasc_plant,3,0
4698,2020,Vasc_plant,1,0
4698,2020,Vasc_plant,2,0
4698,2020,Vasc_plant,3,0
4359,1850,Biocrust,1,11.11111111
4359,1850,Biocrust,2,0
4359,1850,Biocrust,3,0
4648,1960,Biocrust,1,22.22222222
4648,1960,Biocrust,2,33.33333333
4648,1960,Biocrust,3,0
4660,1990,Biocrust,1,88.88888889
4660,1990,Biocrust,2,44.44444444
4660,1990,Biocrust,3,22.22222222
4690,2010,Biocrust,1,55.55555556
4690,2010,Biocrust,2,11.11111111
4690,2010,Biocrust,3,0
4698,2020,Biocrust,1,0
4698,2020,Biocrust,2,0
4698,2020,Biocrust,3,0
4359,1850,Bare_ground,1,0
4359,1850,Bare_ground,2,0
4359,1850,Bare_ground,3,0
4648,1960,Bare_ground,1,33.33333333
4648,1960,Bare_ground,2,22.22222222
4648,1960,Bare_ground,3,66.66666667
4660,1990,Bare_ground,1,11.11111111
4660,1990,Bare_ground,2,11.11111111
4660,1990,Bare_ground,3,0
4690,2010,Bare_ground,1,44.44444444
4690,2010,Bare_ground,2,88.88888889
4690,2010,Bare_ground,3,55.55555556
4698,2020,Bare_ground,1,100
4698,2020,Bare_ground,2,100
4698,2020,Bare_ground,3,100
4359,1850,Moss,1,22.22222222
4359,1850,Moss,2,44.44444444
4359,1850,Moss,3,0
4648,1960,Moss,1,33.33333333
4648,1960,Moss,2,11.11111111
4648,1960,Moss,3,0
4660,1990,Moss,1,0
4660,1990,Moss,2,44.44444444
4660,1990,Moss,3,77.77777778
4690,2010,Moss,1,0
4690,2010,Moss,2,0
4690,2010,Moss,3,44.44444444
4698,2020,Moss,1,0
4698,2020,Moss,2,0
4698,2020,Moss,3,0
4359,1850,Lichen,1,0
4359,1850,Lichen,2,33.33333333
4359,1850,Lichen,3,55.55555556
4648,1960,Lichen,1,22.22222222
4648,1960,Lichen,2,66.66666667
4648,1960,Lichen,3,0
4660,1990,Lichen,1,0
4660,1990,Lichen,2,0
4660,1990,Lichen,3,0
4690,2010,Lichen,1,11.11111111
4690,2010,Lichen,2,0
4690,2010,Lichen,3,11.11111111
4698,2020,Lichen,1,0
4698,2020,Lichen,2,0
4698,2020,Lichen,3,0
